LOAN_ID,CUSTOMER_ID,AGE,GENDER,STATE,OCCUPATION,MONTHLY_INCOME,LOAN_PRODUCT,LOAN_AMOUNT,SANCTION_AMOUNT,LOAN_TENURE,INTEREST_RATE,EMI_AMOUNT,BUREAU_SCORE,VINTAGE_MONTHS,CURRENT_DPD,MAX_DPD,OUTSTANDING_BALANCE,COLLECTION_BUCKET,LOAN_STATUS,DEFAULT_FLAG,WRITE_OFF_FLAG,DISBURSAL_DATE,LAST_PAYMENT_DATE,MONTHLY_INCOME_IMPUTED,BUREAU_SCORE_IMPUTED,LAST_PAYMENT_DATE_IMPUTED,LAST_PMT_IS_FUTURE,FOIR,CREDIT_UTIL,SANCTION_RATIO,REPAYMENT_RATIO,DISPOSABLE_INCOME,TENURE_PROGRESS,MONTHS_LEFT,IS_DELINQUENT,HAD_PAST_DPD,BUREAU_BAND,FOIR_BAND,CURR_DPD_LABEL,MAX_DPD_LABEL,UTIL_LABEL,REPAYMENT_STAGE,TENURE_STAGE,PAYMENT_BEHAVIOUR,SANCTION_LABEL,INTEREST_RATE_BAND,DISPOSABLE_INCOME_BAND,RISK_TIER,LOAN_HEALTH_SCORE,ACCOUNT_HEALTH,PRIMARY_RISK
LN0000694,CUST000246,45,Female,Karnataka,Self Employed,74986.0,Home Loan,3900420,3025548,180,14.46,41231.8,659.0,71,75,75,421799,61-90,Delinquent,0,0,2022-06-28,2028-01-21,False,False,False,True,0.5499,0.1394,0.7757,0.8606,33754.2,0.3944,109,1,0,Moderate Risk,Stretched,Serious Delinquency,Serious Delinquency,Low,Mostly Repaid,Mid Tenure,Severely Delinquent,Mostly Approved,Average,Comfortable,HIGH,2,Healthy,Current Delinquency
LN0000625,CUST000410,31,Male,Uttar Pradesh,Self Employed,31371.0,Vehicle Loan,152761,132229,48,10.02,3354.94,729.0,57,0,150,64869,Current,Active,0,0,2022-06-12,2027-01-15,False,False,False,True,0.1069,0.4906,0.8656,0.5094,28016.06,1.0,0,0,1,Good,Comfortable,No Delinquency,Potential Default,Moderate,Partially Repaid,Completed,Recovered From Past Delays,Mostly Approved,Low,Comfortable,MEDIUM,2,Healthy,Healthy Account
LN0000988,CUST000675,38,Female,Telangana,Professional,101300.0,MSME Loan,2334952,1618191,36,12.59,54204.24,685.0,63,7,60,987293,1-30,Active,0,0,2022-12-11,2028-01-16,False,False,False,True,0.5351,0.6101,0.693,0.3899,47095.76,1.0,0,1,0,Moderate Risk,Stretched,Slight Delay,Moderate Delinquency,Moderate,Early Repayment Stage,Completed,Currently Delayed,Partially Approved,Average,Comfortable,MEDIUM,2,Healthy,Healthy Account
LN0000394,CUST000491,21,Male,Tamil Nadu,Salaried,72671.0,Personal Loan,360508,314620,24,14.6,15195.14,786.0,8,0,150,54570,Current,Active,0,0,2024-09-01,2025-03-19,False,False,False,False,0.2091,0.1734,0.8727,0.8266,57475.86,0.3333,16,0,1,Very Good,Comfortable,No Delinquency,Potential Default,Low,Mostly Repaid,Mid Tenure,Recovered From Past Delays,Mostly Approved,Average,Very Comfortable,MEDIUM,2,Healthy,Healthy Account
LN0000588,CUST000225,38,Male,Madhya Pradesh,Salaried,50793.0,Consumer Durable Loan,19717,13765,24,8.5,625.7,615.0,58,30,30,6247,1-30,Active,0,0,2023-10-11,2028-05-28,False,False,False,True,0.0123,0.4538,0.6981,0.5462,50167.3,1.0,0,1,0,High Risk,Comfortable,Slight Delay,Slight Delay,Moderate,Partially Repaid,Completed,Currently Delayed,Partially Approved,Low,Very Comfortable,MEDIUM,4,Needs Monitoring,Weak Credit Profile
LN0000939,CUST000573,60,Female,Madhya Pradesh,Professional,47435.0,Home Loan,3642525,3510450,180,21.67,66027.04,753.0,61,15,90,1673412,1-30,Active,0,0,2020-08-09,2025-06-24,False,False,False,False,1.0,0.4767,0.9637,0.5233,0.0,0.3389,119,1,0,Very Good,Financially Stressed,Slight Delay,Serious Delinquency,Moderate,Partially Repaid,Mid Tenure,Currently Delayed,Fully Approved,Very High,Financially Tight,MEDIUM,3,Needs Monitoring,High EMI Burden
LN0000531,CUST000450,48,Female,Rajasthan,Salaried,115858.0,MSME Loan,99999999,573513,24,16.82,28306.2,752.0,3,15,90,461737,1-30,Active,0,0,2021-08-27,2021-10-27,False,False,False,False,0.2443,0.8051,0.0057,0.1949,87551.8,0.125,21,1,0,Very Good,Comfortable,Slight Delay,Serious Delinquency,High,Early Repayment Stage,New Loan,Currently Delayed,Significantly Reduced,High,Very Comfortable,MEDIUM,3,Needs Monitoring,Healthy Account
LN0000002,CUST000571,55,Male,West Bengal,Self Employed,105514.0,Home Loan,7373952,5728370,180,14.08,76595.21,702.0,37,120,120,4956047,90+,Delinquent,1,1,2024-04-05,2026-12-04,False,False,False,True,0.7259,0.8652,0.7768,0.1348,28918.789999999994,0.2056,143,1,0,Good,Financially Stressed,Potential Default,Potential Default,Very High,Early Repayment Stage,New Loan,Written Off,Mostly Approved,Average,Comfortable,CRITICAL,15,Critical,Written Off
LN0000431,CUST000564,40,Female,Maharashtra,Self Employed,17556.0,Home Loan,4030631,3437234,240,16.68,49582.65,775.0,2,0,60,1381315,Current,Active,0,0,2021-01-16,2021-03-09,False,False,False,False,1.0,0.4019,0.8528,0.5981,0.0,0.0083,238,0,1,Very Good,Financially Stressed,No Delinquency,Moderate Delinquency,Moderate,Partially Repaid,New Loan,Recovered From Past Delays,Mostly Approved,High,Financially Tight,MEDIUM,1,Healthy,High EMI Burden
LN0000058,CUST000071,42,Male,Karnataka,Self Employed,36231.0,Vehicle Loan,765156,575988,24,9.73,26507.2,652.0,65,0,0,293726,Current,Active,0,0,2025-10-03,2031-01-09,False,False,False,True,0.7316,0.51,0.7528,0.49,9723.8,1.0,0,0,0,Moderate Risk,Financially Stressed,No Delinquency,No Delinquency,Moderate,Partially Repaid,Completed,Always Paid On Time,Mostly Approved,Low,Financially Tight,MEDIUM,1,Healthy,High EMI Burden
LN0000708,CUST000037,48,Male,Rajasthan,Self Employed,45606.0,MSME Loan,443103,374872,24,16.81,18500.31,751.0,47,30,30,337745,1-30,Active,0,0,2022-05-31,2026-02-16,False,False,False,False,0.4057,0.901,0.846,0.099,27105.69,1.0,0,1,0,Very Good,Manageable,Slight Delay,Slight Delay,Very High,Early Repayment Stage,Completed,Currently Delayed,Mostly Approved,High,Comfortable,MEDIUM,3,Needs Monitoring,High Credit Utilization
LN0000631,CUST000221,47,Male,Rajasthan,Business,43130.0,Personal Loan,557695,512317,18,4.5,31975.26,798.0,33,0,45,205139,Current,Active,0,0,2024-04-11,2026-11-17,False,False,False,True,0.7414,0.4004,0.9186,0.5996,11154.740000000002,1.0,0,0,1,Very Good,Financially Stressed,No Delinquency,Moderate Delinquency,Moderate,Partially Repaid,Completed,Recovered From Past Delays,Mostly Approved,Very Low,Limited,MEDIUM,1,Healthy,High EMI Burden
LN0000033,CUST000377,33,Female,Rajasthan,Salaried,71276.0,Personal Loan,399534,343726,12,16.15,31210.96,741.0,16,0,150,207283,Current,Active,0,0,2021-05-15,2022-08-12,False,False,False,False,0.4379,0.603,0.8603,0.397,40065.04,1.0,0,0,1,Good,Manageable,No Delinquency,Potential Default,Moderate,Early Repayment Stage,Completed,Recovered From Past Delays,Mostly Approved,High,Comfortable,MEDIUM,2,Healthy,Healthy Account
LN0000739,CUST000028,37,Male,Uttar Pradesh,Salaried,22258.0,Home Loan,1200000,792604,240,8.5,6878.4,602.0,50,60,60,432005,31-60,Delinquent,0,0,2022-04-18,2026-03-15,False,False,False,False,0.309,0.545,0.6605,0.455,15379.6,0.2083,190,1,0,High Risk,Manageable,Moderate Delinquency,Moderate Delinquency,Moderate,Partially Repaid,New Loan,Severely Delinquent,Partially Approved,Low,Limited,HIGH,4,Needs Monitoring,Current Delinquency
LN0000674,CUST000343,43,Female,Madhya Pradesh,Salaried,48895.0,Personal Loan,404888,322641,18,21.59,21142.69,745.0,58,0,90,290651,Current,Active,0,0,2024-11-13,2029-07-31,False,False,False,True,0.4324,0.9008,0.7969,0.0992,27752.31,1.0,0,0,1,Good,Manageable,No Delinquency,Serious Delinquency,Very High,Early Repayment Stage,Completed,Recovered From Past Delays,Mostly Approved,Very High,Comfortable,LOW,1,Healthy,High Credit Utilization
LN0000644,CUST000602,37,Male,Madhya Pradesh,Professional,34402.0,Consumer Durable Loan,92620,87382,12,15.58,7910.89,791.0,57,0,90,49332,Current,Active,0,0,2020-07-17,2025-03-02,False,False,False,False,0.23,0.5646,0.9434,0.4354,26491.11,1.0,0,0,1,Very Good,Comfortable,No Delinquency,Serious Delinquency,Moderate,Partially Repaid,Completed,Recovered From Past Delays,Mostly Approved,Average,Comfortable,LOW,0,Excellent,Healthy Account
LN0000315,CUST000027,33,Male,Telangana,Professional,50297.0,Home Loan,5914489,4854304,240,17.02,71276.8,766.0,35,0,45,4278584,Current,Active,0,0,2023-03-27,2023-02-01,False,False,False,False,1.0,0.8814,0.8207,0.1186,0.0,0.1458,205,0,1,Very Good,Financially Stressed,No Delinquency,Moderate Delinquency,Very High,Early Repayment Stage,New Loan,Recovered From Past Delays,Mostly Approved,High,Financially Tight,MEDIUM,2,Healthy,High EMI Burden
LN0000219,CUST000216,61,Female,Maharashtra,Self Employed,82686.0,Vehicle Loan,1141699,714044,36,12.88,24017.71,622.0,68,7,60,140777,1-30,Active,0,0,2021-05-18,2026-12-03,False,False,False,True,0.2905,0.1972,0.6254,0.8028,58668.29,1.0,0,1,0,High Risk,Comfortable,Slight Delay,Moderate Delinquency,Low,Mostly Repaid,Completed,Currently Delayed,Partially Approved,Average,Very Comfortable,MEDIUM,4,Needs Monitoring,Weak Credit Profile
LN0000840,CUST000508,35,Male,Uttar Pradesh,Salaried,88587.0,Home Loan,6862862,4783906,120,10.29,63990.41,679.0,69,0,60,3975726,Current,Active,0,0,2021-06-21,2027-02-09,False,False,False,True,0.7223,0.8311,0.6971,0.1689,24596.589999999997,0.575,51,0,1,Moderate Risk,Financially Stressed,No Delinquency,Moderate Delinquency,High,Early Repayment Stage,Mid Tenure,Recovered From Past Delays,Partially Approved,Low,Limited,MEDIUM,2,Healthy,High EMI Burden
LN0000982,CUST000159,50,Female,Delhi,SALARIED,18985.0,Home,5283110,4586896,300,13.63,53920.18,725.0,21,0,15,4090967,Current,Active,0,0,2025-04-28,2027-01-15,False,False,False,True,1.0,0.8919,0.8682,0.1081,0.0,0.07,279,0,1,Good,Financially Stressed,No Delinquency,Slight Delay,Very High,Early Repayment Stage,New Loan,Recovered From Past Delays,Mostly Approved,Average,Financially Tight,MEDIUM,2,Healthy,High EMI Burden
LN0000827,CUST000244,35,Male,Rajasthan,Salaried,57003.0,Home Loan,4671786,3791684,240,15.66,51787.22,667.0,15,0,75,534885,Current,Active,0,0,2022-02-08,2023-04-11,False,False,False,False,0.9085,0.1411,0.8116,0.8589,5215.779999999999,0.0625,225,0,1,Moderate Risk,Financially Stressed,No Delinquency,Serious Delinquency,Low,Mostly Repaid,New Loan,Recovered From Past Delays,Mostly Approved,Average,Financially Tight,MEDIUM,1,Healthy,High EMI Burden
LN0000559,CUST000380,30,Female,Rajasthan,Professional,26577.0,Consumer Durable Loan,100556,89388,9,11.65,10420.33,819.0,69,45,45,37580,31-60,Delinquent,0,0,2022-02-04,2027-07-24,False,False,False,True,0.3921,0.4204,0.8889,0.5796,16156.67,1.0,0,1,0,Excellent,Manageable,Moderate Delinquency,Moderate Delinquency,Moderate,Partially Repaid,Completed,Severely Delinquent,Mostly Approved,Low,Limited,HIGH,2,Healthy,Current Delinquency
LN0000311,CUST000676,61,Female,Gujarat,Salaried,88088.0,Consumer Durable Loan,73374,65536,24,9.33,3003.93,738.0,48,45,45,44896,31-60,Delinquent,0,0,2021-09-06,2025-06-08,False,False,False,False,0.0341,0.6851,0.8932,0.3149,85084.07,1.0,0,1,0,Good,Comfortable,Moderate Delinquency,Moderate Delinquency,Moderate,Early Repayment Stage,Completed,Severely Delinquent,Mostly Approved,Low,Very Comfortable,HIGH,2,Healthy,Current Delinquency
LN0000293,CUST000442,38,Male,Tamil Nadu,Salaried,75591.0,Consumer Durable Loan,10000,10000,24,19.58,506.91,705.0,1,45,60,7307,31-60,Delinquent,0,0,2025-10-22,2025-08-26,False,False,False,False,0.0067,0.7307,1.0,0.2693,75084.09,0.0417,23,1,0,Good,Comfortable,Moderate Delinquency,Moderate Delinquency,High,Early Repayment Stage,New Loan,Severely Delinquent,Fully Approved,High,Very Comfortable,HIGH,2,Healthy,Current Delinquency
LN0000002,CUST000571,55,Male,West Bengal,Self Employed,105514.0,Home Loan,7373952,5728370,180,14.08,76595.21,702.0,37,120,120,4956047,90+,Delinquent,1,1,2024-04-05,2026-12-04,False,False,False,True,0.7259,0.8652,0.7768,0.1348,28918.789999999994,0.2056,143,1,0,Good,Financially Stressed,Potential Default,Potential Default,Very High,Early Repayment Stage,New Loan,Written Off,Mostly Approved,Average,Comfortable,CRITICAL,15,Critical,Written Off
LN0000396,CUST000512,33,Female,Telangana,Salaried,66958.0,Vehicle Loan,1118647,898172,60,16.98,22312.23,721.0,13,30,45,262376,1-30,Active,0,0,2023-05-08,2024-03-19,False,False,False,False,0.3332,0.2921,0.8029,0.7079,44645.770000000004,0.2167,47,1,0,Good,Manageable,Slight Delay,Moderate Delinquency,Low,Mostly Repaid,New Loan,Currently Delayed,Mostly Approved,High,Comfortable,MEDIUM,2,Healthy,Healthy Account
LN0000177,CUST000581,40,Male,Karnataka,Salaried,74900.0,MSME Loan,1535373,1146400,48,18.08,33723.44,598.0,60,0,120,864878,Current,Active,0,0,2020-03-28,2025-02-12,True,False,False,False,0.4502,0.7544,0.7467,0.2456,41176.56,1.0,0,0,1,High Risk,Manageable,No Delinquency,Potential Default,High,Early Repayment Stage,Completed,Recovered From Past Delays,Partially Approved,High,Comfortable,MEDIUM,4,Needs Monitoring,Weak Credit Profile
LN0000019,CUST000056,31,Female,Delhi,Salaried,56474.0,Consumer Durable Loan,111101,80595,12,18.55,7410.06,654.0,29,0,45,31542,Current,Active,0,0,2026-01-03,2028-04-08,False,False,False,True,0.1312,0.3914,0.7254,0.6086,49063.94,1.0,0,0,1,Moderate Risk,Comfortable,No Delinquency,Moderate Delinquency,Low,Partially Repaid,Completed,Recovered From Past Delays,Partially Approved,High,Comfortable,LOW,0,Excellent,Healthy Account
LN0000541,CUST000289,21,Female,Rajasthan,Salaried,106927.0,Vehicle Loan,249782,213093,60,17.74,5381.07,719.0,59,15,30,93012,1-30,Active,0,0,2021-03-27,2026-01-05,False,False,False,False,0.0503,0.4365,0.8531,0.5635,101545.93,0.9833,1,1,0,Good,Comfortable,Slight Delay,Slight Delay,Moderate,Partially Repaid,Near Completion,Currently Delayed,Mostly Approved,High,Very Comfortable,MEDIUM,2,Healthy,Healthy Account
LN0000288,CUST000502,41,Female,Delhi,Business,55778.0,MSME Loan,1656954,1255482,24,21.85,65039.13,700.0,38,0,75,893416,Current,Active,0,0,2024-04-03,2027-05-01,False,False,False,True,1.0,0.7116,0.7577,0.2884,0.0,1.0,0,0,1,Good,Financially Stressed,No Delinquency,Serious Delinquency,High,Early Repayment Stage,Completed,Recovered From Past Delays,Mostly Approved,Very High,Financially Tight,MEDIUM,1,Healthy,High EMI Burden
LN0000268,CUST000116,56,Male,Gujarat,Business,59763.0,Vehicle Loan,1386971,1081223,36,4.5,36555.79,689.0,38,7,60,453693,1-30,Active,0,0,2021-03-01,2024-03-21,False,False,False,False,0.6117,0.4196,0.7796,0.5804,23207.21,1.0,0,1,0,Moderate Risk,Financially Stressed,Slight Delay,Moderate Delinquency,Moderate,Partially Repaid,Completed,Currently Delayed,Mostly Approved,Very Low,Limited,MEDIUM,3,Needs Monitoring,High EMI Burden
LN0000533,CUST000228,28,Female,Madhya Pradesh,Salaried,83051.0,Personal Loan,634919,414520,60,11.99,9218.67,643.0,16,15,75,344645,1-30,Active,0,0,2022-05-23,2023-08-16,False,False,False,False,0.111,0.8314,0.6529,0.1686,73832.33,0.2667,44,1,0,High Risk,Comfortable,Slight Delay,Serious Delinquency,High,Early Repayment Stage,Mid Tenure,Currently Delayed,Partially Approved,Low,Very Comfortable,MEDIUM,5,High Risk,Weak Credit Profile
LN0000771,CUST000433,50,Female,Telangana,Business,59664.0,Consumer Durable Loan,26551,18594,12,19.03,1713.83,618.0,21,0,150,12841,Current,Active,0,0,2021-10-12,2023-06-01,False,False,False,False,0.0287,0.6906,0.7003,0.3094,57950.17,1.0,0,0,1,High Risk,Comfortable,No Delinquency,Potential Default,Moderate,Early Repayment Stage,Completed,Recovered From Past Delays,Partially Approved,High,Very Comfortable,MEDIUM,4,Needs Monitoring,Weak Credit Profile
LN0000518,CUST000587,36,Male,Telangana,Self Employed,58471.0,MSME Loan,811048,651884,48,14.61,18013.81,789.1021579928512,58,0,30,265570,Current,Active,0,0,2020-02-02,2024-10-25,False,True,False,False,0.3081,0.4074,0.8038,0.5926,40457.19,1.0,0,0,1,Very Good,Manageable,No Delinquency,Slight Delay,Moderate,Partially Repaid,Completed,Recovered From Past Delays,Mostly Approved,Average,Comfortable,LOW,0,Excellent,Healthy Account
LN0000712,CUST000119,27,Male,Tamil Nadu,Salaried,30900.0,Consumer Durable Loan,96481,79521,6,31.0,13914.0,732.0,38,0,45,9844,Current,Active,0,0,2025-03-28,2028-04-29,True,False,False,True,0.4503,0.1238,0.8242,0.8762,16986.0,1.0,0,0,1,Good,Manageable,No Delinquency,Moderate Delinquency,Low,Mostly Repaid,Completed,Recovered From Past Delays,Mostly Approved,Very High,Limited,LOW,0,Excellent,Healthy Account
LN0000386,CUST000203,38,Male,Karnataka,Salaried,155196.0,Home Loan,5622797,0,120,9.08,52216.93,686.0,9,0,120,2722243,Current,Active,0,0,2023-09-17,2024-05-02,False,False,False,False,0.3365,,0.0,,102979.07,0.075,111,0,1,Moderate Risk,Manageable,No Delinquency,Potential Default,Very High,Unknown,New Loan,Recovered From Past Delays,Significantly Reduced,Low,Very Comfortable,MEDIUM,2,Healthy,Healthy Account
LN0000878,CUST000667,41,Male,Delhi,Salaried,52530.0,Personal Loan,258631,187789,60,21.59,5142.85,644.0,63,60,60,66841,31-60,Delinquent,0,0,2020-07-17,2025-06-16,False,False,False,False,0.0979,0.3559,0.7261,0.6441,47387.15,1.0,0,1,0,High Risk,Comfortable,Moderate Delinquency,Moderate Delinquency,Low,Partially Repaid,Completed,Severely Delinquent,Partially Approved,Very High,Comfortable,HIGH,4,Needs Monitoring,Current Delinquency
LN0000938,CUST000365,58,Female,Gujarat,Salaried,27256.0,Personal Loan,55917,48444,24,16.75,2389.37,745.0,19,0,120,22365,Current,Active,0,0,2022-03-19,2023-10-06,False,False,False,False,0.0877,0.4617,0.8664,0.5383,24866.63,0.7917,5,0,1,Good,Comfortable,No Delinquency,Potential Default,Moderate,Partially Repaid,Near Completion,Recovered From Past Delays,Mostly Approved,High,Limited,MEDIUM,2,Healthy,Healthy Account
LN0000603,CUST000234,30,Female,Madhya Pradesh,Salaried,43344.0,Consumer Durable Loan,98518,80310,12,11.25,7107.3,722.0,18,0,15,40133,Current,Active,0,0,2020-04-21,2021-09-14,False,False,False,False,0.164,0.4997,0.8152,0.5003,36236.7,1.0,0,0,1,Good,Comfortable,No Delinquency,Slight Delay,Moderate,Partially Repaid,Completed,Recovered From Past Delays,Mostly Approved,Low,Comfortable,LOW,0,Excellent,Healthy Account
LN0000554,CUST000116,45,Female,Rajasthan,Self Employed,46964.0,Personal Loan,621236,574352,48,16.16,16324.4,834.0,24,0,15,179088,Current,Active,0,0,2020-06-14,2022-06-02,False,False,False,False,0.3476,0.3118,0.9245,0.6882,30639.6,0.5,24,0,1,Excellent,Manageable,No Delinquency,Slight Delay,Low,Partially Repaid,Mid Tenure,Recovered From Past Delays,Mostly Approved,High,Comfortable,LOW,0,Excellent,Healthy Account
LN0000224,CUST000062,44,Female,Telangana,Salaried,67907.0,Personal Loan,169547,119368,36,16.1,4202.52,622.0,12,0,0,60938,Current,Active,0,0,2023-09-06,2024-07-25,False,False,False,False,0.0619,0.5105,0.704,0.4895,63704.479999999996,0.3333,24,0,0,High Risk,Comfortable,No Delinquency,No Delinquency,Moderate,Partially Repaid,Mid Tenure,Always Paid On Time,Partially Approved,High,Very Comfortable,MEDIUM,2,Healthy,Weak Credit Profile
LN0000881,CUST000238,37,Female,Telangana,salaried,35091.0,PL,439513,363773,36,14.27,12480.66,735.0,15,0,90,330666,Current,Active,0,0,2022-03-23,2023-05-23,False,False,False,False,0.3557,0.909,0.8277,0.091,22610.34,0.4167,21,0,1,Good,Manageable,No Delinquency,Serious Delinquency,Very High,Early Repayment Stage,Mid Tenure,Recovered From Past Delays,Mostly Approved,Average,Limited,LOW,1,Healthy,High Credit Utilization
LN0000421,CUST000386,26,Female,West Bengal,Self Employed,44145.0,MSME Loan,2199448,1647162,24,8.5,74872.86,740.0,51,45,45,784430,31-60,Delinquent,0,0,2020-05-05,2024-05-08,False,False,False,False,1.0,0.4762,0.7489,0.5238,0.0,1.0,0,1,0,Good,Financially Stressed,Moderate Delinquency,Moderate Delinquency,Moderate,Partially Repaid,Completed,Severely Delinquent,Partially Approved,Low,Financially Tight,HIGH,3,Needs Monitoring,Current Delinquency
LN0000910,CUST000001,33,Female,Telangana,Business,66030.0,Consumer Durable Loan,75084,55473,18,15.32,3469.03,684.0,48,0,120,42246,Current,Active,0,0,2023-04-24,2027-04-01,False,False,False,True,0.0525,0.7616,0.7388,0.2384,62560.97,1.0,0,0,1,Moderate Risk,Comfortable,No Delinquency,Potential Default,High,Early Repayment Stage,Completed,Recovered From Past Delays,Partially Approved,Average,Very Comfortable,MEDIUM,2,Healthy,Healthy Account
